Analyzing journey 1 with 62 records
Arrival Time: 2023-09-10 01:01:38

=== Random Forest Time Regression ===
Feature Importances: [0.96616957 0.03383043 0.         0.        ]
Mean Squared Error (MSE): 0.5108729107468032
MSE over time (as ship approaches):
Time Step 1: MSE = 0.6778076240892449
Time Step 2: MSE = 0.37244946516230415
Time Step 3: MSE = 1.9127606453874761
Time Step 4: MSE = 1.6309445749252818
Time Step 5: MSE = 1.3890740192487363
Time Step 6: MSE = 2.5355043806592734
Time Step 7: MSE = 2.1743838010703866
Time Step 8: MSE = 1.9097497555318461
Time Step 9: MSE = 1.6979344297569465
Time Step 10: MSE = 1.5444698358322646
Time Step 11: MSE = 1.4122786903898836
Time Step 12: MSE = 1.480523554203291
Time Step 13: MSE = 1.3793222545237545
Time Step 14: MSE = 1.3697942508035286
Time Step 15: MSE = 1.2932078945202172
Time Step 16: MSE = 1.248767943778244
Time Step 17: MSE = 1.206969825555321
Time Step 18: MSE = 1.1500700806259374
Time Step 19: MSE = 1.0904294883367545
Time Step 20: MSE = 1.035951965861072
Time Step 21: MSE = 0.9866285054726648
Time Step 22: MSE = 0.9421843559838495
Time Step 23: MSE = 0.901235227915463
Time Step 24: MSE = 0.8640738033392369
Time Step 25: MSE = 0.8356737652463362
Time Step 26: MSE = 0.8077166401361726
Time Step 27: MSE = 0.8111706777869497
Time Step 28: MSE = 0.7822401182856557
Time Step 29: MSE = 0.7567876365988042
Time Step 30: MSE = 0.7317235278692376
Time Step 31: MSE = 0.7086601045618746
Time Step 32: MSE = 0.69431422663917
Time Step 33: MSE = 0.7029806607525682
Time Step 34: MSE = 0.6826528103342031
Time Step 35: MSE = 0.6676984161013982
Time Step 36: MSE = 0.6510935327850346
Time Step 37: MSE = 0.6480128532979723
Time Step 38: MSE = 0.6325815282955143
Time Step 39: MSE = 0.6169678386540026
Time Step 40: MSE = 0.6023170802180031
Time Step 41: MSE = 0.5876792659972627
Time Step 42: MSE = 0.5754188200639678
Time Step 43: MSE = 0.5622685476074339
Time Step 44: MSE = 0.5581789772313175
Time Step 45: MSE = 0.5492048445955954
Time Step 46: MSE = 0.5494652377609712
Time Step 47: MSE = 0.5975591951269923
Time Step 48: MSE = 0.6012633023481385
Time Step 49: MSE = 0.5987209137805103
Time Step 50: MSE = 0.5875629699014286
Time Step 51: MSE = 0.57663904361933
Time Step 52: MSE = 0.5681818870775159
Time Step 53: MSE = 0.5605067364191167
Time Step 54: MSE = 0.5501338820353628
Time Step 55: MSE = 0.5407915312851709
Time Step 56: MSE = 0.5480777387788848
Time Step 57: MSE = 0.5385315605503398
Time Step 58: MSE = 0.5295677729883921
Time Step 59: MSE = 0.5234667868015935
Time Step 60: MSE = 0.5193336763202782
Time Step 61: MSE = 0.5108729107468032

=== Predicting Travel Estimates ===
Model Coefficients: 11.709554175999038
Model Intercept: 14.014490237359496
Mean Squared Error (MSE): 568.6753590921589
MSE over time (as ship approaches):
Time Step 1: MSE = 4953.137737823305
Time Step 2: MSE = 4509.950051890455
Time Step 3: MSE = 3686.937239089046
Time Step 4: MSE = 2981.122337418831
Time Step 5: MSE = 2410.923609301297
Time Step 6: MSE = 2044.9158365746741
Time Step 7: MSE = 2082.0981904291543
Time Step 8: MSE = 2085.5797569480974
Time Step 9: MSE = 2125.2348607800095
Time Step 10: MSE = 2198.606427473371
Time Step 11: MSE = 2171.0451359231233
Time Step 12: MSE = 2043.531816345995
Time Step 13: MSE = 1898.5105260372475
Time Step 14: MSE = 1764.8680090993023
Time Step 15: MSE = 1658.427606353088
Time Step 16: MSE = 1601.7350112638956
Time Step 17: MSE = 1563.1354442174559
Time Step 18: MSE = 1551.474059855397
Time Step 19: MSE = 1530.807281650502
Time Step 20: MSE = 1472.1199577910893
Time Step 21: MSE = 1410.3472143992044
Time Step 22: MSE = 1346.2410767059098
Time Step 23: MSE = 1290.001197791022
Time Step 24: MSE = 1239.0348079408068
Time Step 25: MSE = 1189.7710188354183
Time Step 26: MSE = 1144.013987173307
Time Step 27: MSE = 1103.2493615264207
Time Step 28: MSE = 1065.2758251268572
Time Step 29: MSE = 1028.936584432666
Time Step 30: MSE = 996.2326837850344
Time Step 31: MSE = 969.4885477325951
Time Step 32: MSE = 944.1599054018537
Time Step 33: MSE = 925.7017892707426
Time Step 34: MSE = 904.1089267018767
Time Step 35: MSE = 879.1014024334911
Time Step 36: MSE = 858.6975264737389
Time Step 37: MSE = 842.2649018600481
Time Step 38: MSE = 821.6260605586831
Time Step 39: MSE = 801.5000581476581
Time Step 40: MSE = 783.0021143319822
Time Step 41: MSE = 764.1620298539543
Time Step 42: MSE = 747.9542268612424
Time Step 43: MSE = 730.9901402417075
Time Step 44: MSE = 714.4901640791185
Time Step 45: MSE = 698.902669701117
Time Step 46: MSE = 684.5268528501239
Time Step 47: MSE = 669.9792880015998
Time Step 48: MSE = 656.1806087444533
Time Step 49: MSE = 665.1596221812869
Time Step 50: MSE = 668.3482351354611
Time Step 51: MSE = 663.072439623113
Time Step 52: MSE = 652.6183138134755
Time Step 53: MSE = 640.649220506248
Time Step 54: MSE = 628.8010075118301
Time Step 55: MSE = 617.815598993588
Time Step 56: MSE = 607.3769991327199
Time Step 57: MSE = 597.1572235505845
Time Step 58: MSE = 587.522481323712
Time Step 59: MSE = 578.8653098317943
Time Step 60: MSE = 572.2109267882879
Time Step 61: MSE = 568.6753590921589

=================================

